      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/07/01	756.75	764.84	725.52	732.71	5878758	7489115136.00
2010/07/02	730.26	738.57	679.82	710.42	6848968	9217187840.00
2010/07/05	700.47	720.98	684.30	710.66	4877159	5573574656.00
2010/07/06	707.24	737.25	702.55	730.84	5582964	7056473088.00
2010/07/07	730.19	745.56	722.37	740.78	4944856	6271618560.00
2010/07/08	742.84	756.99	730.04	744.80	5600137	7394636288.00
2010/07/09	745.56	770.92	734.45	762.60	6938078	9350727680.00
2010/07/12	761.74	775.11	751.85	762.08	6146410	8013799424.00
2010/07/13	757.59	764.41	738.33	748.74	5012329	6620606976.00
2010/07/14	749.00	765.44	743.12	752.20	4540162	6068892160.00
2010/07/15	752.17	763.96	737.14	742.34	4737201	5991653888.00
2010/07/16	737.84	749.43	723.18	743.37	3905387	5077377536.00
2010/07/19	737.02	759.92	729.57	755.39	4940405	6664768000.00
2010/07/20	756.34	788.48	753.12	782.76	8693935	11813078016.00
2010/07/21	783.30	796.26	774.09	784.60	7257425	9743490048.00
2010/07/22	782.62	797.93	776.25	793.61	6420487	8927640576.00
2010/07/23	793.79	808.56	783.41	800.81	8209523	11602143232.00
2010/07/26	802.16	822.14	794.39	816.46	6948552	9981015040.00
2010/07/27	815.07	829.20	805.21	817.96	6643480	9566508032.00
2010/07/28	818.45	839.00	810.74	832.83	7813721	11473190912.00
2010/07/29	834.47	846.03	818.99	830.12	7932490	11453248512.00
2010/07/30	827.04	839.05	817.02	831.00	6451856	9218616320.00
2010/08/02	831.29	857.61	826.57	850.75	8626862	12766862336.00
2010/08/03	853.80	863.60	832.55	837.15	8663871	13490551808.00
2010/08/04	834.39	848.27	819.54	841.72	7529968	11050488832.00
2010/08/05	842.16	870.54	836.40	856.79	10871851	15850651648.00
2010/08/06	854.48	876.43	842.45	871.49	8612562	13467741184.00
2010/08/09	874.33	896.87	866.61	887.19	9007420	14662690816.00
2010/08/10	888.37	902.60	861.56	868.11	11617216	17745233920.00
2010/08/11	863.57	884.26	856.23	875.22	7441936	11756687360.00
2010/08/12	866.72	886.46	852.90	867.08	7474443	12500999168.00
2010/08/13	868.31	890.71	857.26	885.28	7457104	12104809472.00
2010/08/16	888.11	927.87	884.66	913.82	13059572	20152217600.00
2010/08/17	915.77	925.29	899.10	912.15	10287326	16272532480.00
2010/08/18	912.80	928.90	898.07	911.48	10215198	16346014720.00
2010/08/19	911.59	922.90	893.87	905.11	9090595	15258015744.00
2010/08/20	901.60	907.55	866.47	873.92	9768880	15766660096.00
2010/08/23	873.29	887.84	863.10	875.64	6214426	10455896064.00
2010/08/24	875.03	895.86	864.52	886.96	6587180	10974686208.00
2010/08/25	882.34	895.76	866.53	875.96	8110224	12613136384.00
2010/08/26	877.96	894.30	867.36	883.91	6447557	11087073280.00
2010/08/27	883.41	901.59	875.09	895.62	5822107	10749130752.00
2010/08/30	900.14	932.17	895.90	923.87	9710480	16899916800.00
2010/08/31	921.24	942.75	911.61	932.24	10083979	17296861184.00
2010/09/01	932.93	946.32	901.54	917.14	9685939	16685926400.00
2010/09/02	923.96	946.41	912.07	933.76	9738133	16628837376.00
2010/09/03	935.28	948.69	917.94	934.41	9894318	16608088064.00
2010/09/06	938.30	954.03	919.28	932.63	9890995	16159638528.00
2010/09/07	931.07	944.43	918.65	935.51	8058628	12452165632.00
2010/09/08	932.71	951.10	924.09	944.38	7971854	12672266240.00
2010/09/09	949.58	981.68	938.72	951.41	14227014	22313539584.00
2010/09/10	953.88	1005.00	941.43	994.78	18454909	29277579264.00
2010/09/13	999.57	1016.49	980.39	998.78	15628264	25801543680.00
2010/09/14	998.16	1012.97	977.79	994.79	13040554	20382015488.00
2010/09/15	992.32	1013.98	972.57	984.48	12433213	20125753344.00
2010/09/16	981.23	991.65	939.66	957.75	10674867	17015115776.00
2010/09/17	958.01	989.73	947.39	972.25	8539800	13743205376.00
2010/09/20	972.06	984.55	944.93	956.92	7250858	11752286208.00
2010/09/21	957.97	977.98	943.62	964.90	5351564	8803937280.00
2010/09/27	970.39	999.11	960.65	992.79	6355628	11047945216.00
2010/09/28	990.94	1008.91	974.98	993.18	5738548	10607075328.00
2010/09/29	992.60	1002.93	968.11	978.81	5730068	9791700992.00
2010/09/30	973.57	999.10	965.99	990.84	5183309	9083676672.00
2010/10/08	996.76	1024.43	987.59	1011.15	7584538	13449952256.00
2010/10/11	1012.77	1027.26	962.73	992.22	13337556	24320200704.00
2010/10/12	985.75	999.17	963.82	976.77	8828563	17008158720.00
2010/10/13	974.25	985.38	950.63	968.77	10457861	17515370496.00
2010/10/14	970.08	980.08	925.30	936.07	11757363	20232583168.00
2010/10/15	932.46	959.54	911.94	932.47	10683955	18730153984.00
2010/10/18	930.07	951.23	887.03	938.36	11591809	20735225856.00
2010/10/19	936.13	970.06	925.26	961.41	9113953	16557596672.00
2010/10/20	946.85	997.85	937.72	978.57	12783336	23021455360.00
2010/10/21	979.68	1002.03	964.61	988.18	11832787	20081584128.00
2010/10/22	988.97	1004.22	974.33	988.20	9364515	16829296640.00
2010/10/25	989.02	1012.88	976.27	1002.72	11456087	21305440256.00
2010/10/26	1004.63	1033.11	980.91	1022.76	17065359	29716117504.00
2010/10/27	1040.75	1073.30	1004.03	1011.62	20031128	35050749952.00
2010/10/28	1005.76	1023.44	984.71	1004.60	10759901	19058817024.00
2010/10/29	1003.02	1023.35	986.24	1012.19	9562728	17490565120.00
2010/11/01	1015.34	1044.08	1003.81	1035.27	12007456	22852794368.00
2010/11/02	1035.62	1051.56	1014.59	1025.62	13248117	23514550272.00
2010/11/03	1024.91	1048.80	1008.39	1021.73	10154289	18147909632.00
