      Date	    Open	    High	    Low	    Close	    Volume	    Turnover
2010/07/01	818.30	836.30	801.92	810.18	1042300	1345362432.00
2010/07/02	808.16	821.62	767.36	797.24	910526	1689795968.00
2010/07/05	786.70	796.69	768.09	780.86	625194	1046924224.00
2010/07/06	778.83	807.12	775.66	800.86	725737	1337523840.00
2010/07/07	799.68	822.85	787.62	819.36	858064	1503725184.00
2010/07/08	819.19	828.78	802.80	812.20	866578	1541340928.00
2010/07/09	810.95	828.61	791.97	818.99	916188	1472295040.00
2010/07/12	829.67	846.78	819.49	831.79	1388313	2164101632.00
2010/07/13	824.79	836.33	806.95	822.09	1154585	1730671488.00
2010/07/14	824.65	841.01	818.50	827.70	1023309	1399557760.00
2010/07/15	826.72	833.60	793.91	798.68	962798	1344454400.00
2010/07/16	794.62	805.37	776.37	801.13	722997	1014287424.00
2010/07/19	790.57	820.09	783.06	816.07	1121916	1355825280.00
2010/07/20	818.71	844.58	813.42	839.75	1605923	2063989120.00
2010/07/21	841.76	863.57	833.32	842.74	1819300	2448888576.00
2010/07/22	838.15	858.86	832.82	855.50	1697272	1956319616.00
2010/07/23	856.66	873.37	841.99	861.09	1750161	2220003072.00
2010/07/26	863.53	878.09	853.19	869.69	1716232	2099689600.00
2010/07/27	868.79	883.77	857.65	869.93	2123223	2095676288.00
2010/07/28	868.16	895.03	859.31	888.41	1929894	2413065216.00
2010/07/29	888.37	902.07	876.15	890.64	1773145	2295626240.00
2010/07/30	888.24	905.62	875.86	895.49	1677605	2267113984.00
2010/08/02	895.46	918.01	890.23	908.90	1918089	2505542912.00
2010/08/03	909.92	918.60	883.38	886.63	1932402	2634225920.00
2010/08/04	883.14	906.16	870.40	899.55	2849824	2821160192.00
2010/08/05	896.11	915.52	887.16	898.96	2620763	2697689600.00
2010/08/06	895.58	932.87	884.61	928.25	2491875	3174858752.00
2010/08/09	926.49	961.47	920.10	947.45	2432109	3607246336.00
2010/08/10	947.79	959.25	909.70	917.58	2410068	3199089408.00
2010/08/11	915.32	945.78	907.79	936.65	1830071	2602977536.00
2010/08/12	927.26	955.04	916.27	932.56	1816441	2829358080.00
2010/08/13	932.29	947.36	916.45	939.66	1473604	2274802944.00
2010/08/16	939.65	962.84	930.65	956.38	1725244	2621442048.00
2010/08/17	956.14	972.46	944.58	959.00	1929537	2762594816.00
2010/08/18	958.04	968.17	937.51	949.23	2011837	2874380544.00
2010/08/19	947.36	957.00	939.38	945.86	1353224	1900263552.00
2010/08/20	943.98	950.96	915.15	920.68	1342500	2352641792.00
2010/08/23	916.86	935.17	912.37	924.50	1219861	1649962240.00
2010/08/24	924.14	944.70	915.75	936.22	1377503	2164074496.00
2010/08/25	928.20	942.29	902.16	909.48	1453410	2133001984.00
2010/08/26	908.92	923.66	898.76	912.60	1075340	1606424576.00
2010/08/27	910.38	923.39	900.84	916.00	878726	1563666432.00
2010/08/30	918.89	939.16	915.01	936.08	1271728	1960983936.00
2010/08/31	933.94	947.16	917.85	934.94	1668819	2709585664.00
2010/09/01	933.59	943.33	900.18	910.54	1737504	2704556800.00
2010/09/02	918.62	948.72	911.23	936.93	1740934	2648685056.00
2010/09/03	937.84	962.32	927.38	948.54	1920913	2912838912.00
2010/09/06	960.85	978.77	941.19	963.75	2099910	3265019392.00
2010/09/07	961.35	993.41	948.92	982.70	2688078	3209034240.00
2010/09/08	978.53	1002.72	967.80	991.16	2702578	3416868608.00
2010/09/09	995.02	1030.30	978.03	999.89	3029553	4238880000.00
2010/09/10	998.62	1016.05	974.64	991.22	2102785	2987778560.00
2010/09/13	991.96	1030.27	987.21	1020.63	2266394	3456810240.00
2010/09/14	1024.83	1050.23	1011.43	1032.16	2347485	3643080704.00
2010/09/15	1030.57	1051.21	1002.96	1012.39	2314698	3507722496.00
2010/09/16	1009.99	1023.97	964.95	992.55	2119329	3277350400.00
2010/09/17	991.23	1018.90	976.46	998.18	1588048	2442045440.00
2010/09/20	996.58	1007.79	960.26	968.61	1225008	1959353600.00
2010/09/21	970.25	982.06	947.71	963.58	843610	1319680000.00
2010/09/27	966.71	1000.45	955.47	994.90	1117376	1642506112.00
2010/09/28	990.64	1026.67	972.67	1007.86	1951319	2664920064.00
2010/09/29	1000.39	1015.12	979.28	987.04	1246752	1865041152.00
2010/09/30	978.63	1003.85	971.59	995.63	1048912	1647922176.00
2010/10/08	1000.52	1022.87	985.23	1007.25	1601845	2399491840.00
2010/10/11	1008.85	1021.91	971.76	985.56	2339804	3696382464.00
2010/10/12	983.23	1011.45	971.56	992.00	1955369	2982607872.00
2010/10/13	990.59	1013.43	965.66	994.94	2428899	3475432192.00
2010/10/14	997.22	1014.46	963.33	977.39	2424622	3890628352.00
2010/10/15	978.29	993.83	958.52	973.48	2054075	3257242624.00
2010/10/18	972.41	982.80	924.97	947.71	2406538	3170363648.00
2010/10/19	949.10	1003.78	942.39	996.25	2396115	3439200000.00
2010/10/20	989.49	1027.56	978.14	1001.36	2713576	4649089536.00
2010/10/21	1001.26	1029.05	984.29	1006.98	1954794	3264301568.00
2010/10/22	1007.84	1045.00	997.61	1035.00	2245224	3507711232.00
2010/10/25	1055.76	1087.10	1039.17	1060.28	3515923	4816530944.00
2010/10/26	1063.28	1077.96	1039.21	1062.80	2715887	4270913792.00
2010/10/27	1063.20	1085.47	1038.13	1051.78	2520543	3936631296.00
2010/10/28	1044.70	1060.56	1027.94	1039.06	1669809	2620448256.00
2010/10/29	1039.24	1059.01	1022.27	1041.58	1737199	2640308992.00
2010/11/01	1047.95	1087.15	1043.29	1080.04	2843086	4247785472.00
2010/11/02	1087.35	1101.27	1055.63	1059.04	3021488	5006483968.00
2010/11/03	1055.04	1074.98	1033.77	1044.64	1924364	3061206528.00
2010/11/04	1045.45	1110.06	1041.65	1103.59	3603576	5589212160.00
2010/11/05	1111.83	1143.43	1094.49	1119.72	3128025	5318425088.00
2010/11/08	1131.70	1150.53	1109.30	1126.96	3210830	5001886720.00
2010/11/09	1131.02	1166.40	1116.68	1147.46	2984100	4828982784.00
2010/11/10	1143.03	1156.16	1118.04	1135.49	2384239	4192538624.00
2010/11/11	1131.24	1168.90	1115.48	1127.62	2910341	4970841600.00
2010/11/12	1125.38	1143.74	1039.94	1054.54	3275803	5420253184.00
2010/11/15	1063.35	1100.49	1050.16	1093.27	2293373	4820903424.00
2010/11/16	1095.41	1112.94	1026.21	1043.08	2439800	4834968064.00
2010/11/17	1028.09	1050.91	988.51	999.42	1551805	2789113600.00
2010/11/18	1010.14	1029.69	997.32	1016.95	1130208	2134297216.00
2010/11/19	1019.84	1071.29	1011.57	1062.34	2094006	3799583744.00
2010/11/22	1058.99	1134.46	1047.55	1103.85	4463137	6152727552.00
2010/11/23	1092.24	1105.84	1047.76	1077.85	3003657	4259038208.00
2010/11/24	1068.60	1123.01	1061.69	1110.27	2331460	3638299136.00
